galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 4567,0.05,0.22,0.03,0.015,0.28,0.09,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4568,0.04,0.09,0.03,0.022,0.38,0.1,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4569,NA,0.2,0.23,0.062,0.9,0.2,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4579,0.21,0.31,0.96,0.48,1.89,0.81,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4589,0.11,0.21,0.5,0.41,1.42,0.98,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4594,0.11,0.29,0.45,0.18,2.19,0.55,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4596,NA,0.47,0.47,0.27,1.48,0.7,0.46,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4605,0.1,0.3,0.28,0.061,0.26,0.33,0.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4618,0.12,0.35,0.64,0.012,0.16,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4631,0.12,0.33,0.5,0.03,0.24,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4636,0.08,0.35,0.67,0.22,1.84,0.74,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4639,0.11,0.31,1.17,0.31,1.12,0.56,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4643,NA,0.37,0.49,0.078,1.79,0.36,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4647,0.07,0.26,0.02,0.013,0.22,0.09,0.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4651,0.23,0.34,0.62,0.29,1.84,1.05,0.85,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4654,0.06,0.2,0.03,0.009,0.27,0.12,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4656,0.11,0.24,0.98,0.022,0.05,0.11,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4688,0.27,0.44,0.25,0.053,0.3,0.28,0.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
